,date,weekday,day_x,hour,time,month,rides,holiday,datetime,year,is_holiday,is_weekend
169,2019-01-10,Thursday,10,0,00:00:00,1,107,no festivo,2019-01-10 00:00:00,2019,0,0
170,2019-01-10,Thursday,10,1,01:00:00,1,65,no festivo,2019-01-10 01:00:00,2019,0,0
171,2019-01-10,Thursday,10,2,02:00:00,1,36,no festivo,2019-01-10 02:00:00,2019,0,0
172,2019-01-10,Thursday,10,3,03:00:00,1,27,no festivo,2019-01-10 03:00:00,2019,0,0
173,2019-01-10,Thursday,10,4,04:00:00,1,27,no festivo,2019-01-10 04:00:00,2019,0,0
174,2019-01-10,Thursday,10,5,05:00:00,1,92,no festivo,2019-01-10 05:00:00,2019,0,0
175,2019-01-10,Thursday,10,6,06:00:00,1,309,no festivo,2019-01-10 06:00:00,2019,0,0
176,2019-01-10,Thursday,10,7,07:00:00,1,778,no festivo,2019-01-10 07:00:00,2019,0,0
177,2019-01-10,Thursday,10,8,08:00:00,1,768,no festivo,2019-01-10 08:00:00,2019,0,0
178,2019-01-10,Thursday,10,9,09:00:00,1,348,no festivo,2019-01-10 09:00:00,2019,0,0
179,2019-01-10,Thursday,10,10,10:00:00,1,293,no festivo,2019-01-10 10:00:00,2019,0,0
180,2019-01-10,Thursday,10,11,11:00:00,1,319,no festivo,2019-01-10 11:00:00,2019,0,0
181,2019-01-10,Thursday,10,12,12:00:00,1,473,no festivo,2019-01-10 12:00:00,2019,0,0
182,2019-01-10,Thursday,10,13,13:00:00,1,696,no festivo,2019-01-10 13:00:00,2019,0,0
183,2019-01-10,Thursday,10,14,14:00:00,1,699,no festivo,2019-01-10 14:00:00,2019,0,0
184,2019-01-10,Thursday,10,15,15:00:00,1,609,no festivo,2019-01-10 15:00:00,2019,0,0
185,2019-01-10,Thursday,10,16,16:00:00,1,657,no festivo,2019-01-10 16:00:00,2019,0,0
186,2019-01-10,Thursday,10,17,17:00:00,1,854,no festivo,2019-01-10 17:00:00,2019,0,0
187,2019-01-10,Thursday,10,18,18:00:00,1,796,no festivo,2019-01-10 18:00:00,2019,0,0
188,2019-01-10,Thursday,10,19,19:00:00,1,608,no festivo,2019-01-10 19:00:00,2019,0,0
189,2019-01-10,Thursday,10,20,20:00:00,1,452,no festivo,2019-01-10 20:00:00,2019,0,0
190,2019-01-10,Thursday,10,21,21:00:00,1,251,no festivo,2019-01-10 21:00:00,2019,0,0
191,2019-01-10,Thursday,10,22,22:00:00,1,227,no festivo,2019-01-10 22:00:00,2019,0,0
192,2019-01-10,Thursday,10,23,23:00:00,1,201,no festivo,2019-01-10 23:00:00,2019,0,0
193,2019-01-11,Friday,11,0,00:00:00,1,112,no festivo,2019-01-11 00:00:00,2019,0,0
194,2019-01-11,Friday,11,1,01:00:00,1,81,no festivo,2019-01-11 01:00:00,2019,0,0
195,2019-01-11,Friday,11,2,02:00:00,1,54,no festivo,2019-01-11 02:00:00,2019,0,0
196,2019-01-11,Friday,11,3,03:00:00,1,38,no festivo,2019-01-11 03:00:00,2019,0,0
197,2019-01-11,Friday,11,4,04:00:00,1,37,no festivo,2019-01-11 04:00:00,2019,0,0
198,2019-01-11,Friday,11,5,05:00:00,1,64,no festivo,2019-01-11 05:00:00,2019,0,0
199,2019-01-11,Friday,11,6,06:00:00,1,316,no festivo,2019-01-11 06:00:00,2019,0,0
200,2019-01-11,Friday,11,7,07:00:00,1,744,no festivo,2019-01-11 07:00:00,2019,0,0
201,2019-01-11,Friday,11,8,08:00:00,1,700,no festivo,2019-01-11 08:00:00,2019,0,0
202,2019-01-11,Friday,11,9,09:00:00,1,344,no festivo,2019-01-11 09:00:00,2019,0,0
203,2019-01-11,Friday,11,10,10:00:00,1,326,no festivo,2019-01-11 10:00:00,2019,0,0
204,2019-01-11,Friday,11,11,11:00:00,1,337,no festivo,2019-01-11 11:00:00,2019,0,0
205,2019-01-11,Friday,11,12,12:00:00,1,404,no festivo,2019-01-11 12:00:00,2019,0,0
206,2019-01-11,Friday,11,13,13:00:00,1,753,no festivo,2019-01-11 13:00:00,2019,0,0
207,2019-01-11,Friday,11,14,14:00:00,1,915,no festivo,2019-01-11 14:00:00,2019,0,0
208,2019-01-11,Friday,11,15,15:00:00,1,656,no festivo,2019-01-11 15:00:00,2019,0,0
209,2019-01-11,Friday,11,16,16:00:00,1,595,no festivo,2019-01-11 16:00:00,2019,0,0
210,2019-01-11,Friday,11,17,17:00:00,1,605,no festivo,2019-01-11 17:00:00,2019,0,0
211,2019-01-11,Friday,11,18,18:00:00,1,537,no festivo,2019-01-11 18:00:00,2019,0,0
212,2019-01-11,Friday,11,19,19:00:00,1,539,no festivo,2019-01-11 19:00:00,2019,0,0
213,2019-01-11,Friday,11,20,20:00:00,1,523,no festivo,2019-01-11 20:00:00,2019,0,0
