,id,address,name,total_bases,longitude,latitude,postal_code
79,85,Paseo de la Infanta Isabel nº 3,Atocha B,27,-3.6901234,40.4074902,28007
80,86,Cuesta de Claudio Moyano,Cuesta de Moyano,24,-3.6919870,40.4092970,28014
81,87,Calle Doctor Esquerdo nº 161,Niño Jesús,24,-3.6697526,40.4084556,28007
82,88,Calle Pío Baroja nº 10,Pío Baroja,24,-3.6745323,40.4132995,28009
83,89,Calle Doctor Esquerdo nº 191,Valderribas,24,-3.6726019,40.4032501,28007
84,90,Avenida de Menéndez Pelayo esquina calle O'Donnell,Puerta de Madrid,27,-3.6800080,40.4215010,28009
85,91,Plaza Cibeles,Cibeles,21,-3.6933498,40.4186516,28001
86,92,Calle Ayala nº 44,Ayala,24,-3.6832566,40.4277360,28001
87,93,Calle Velázquez nº 75,Embajada de Italia,24,-3.6838303,40.4313576,28006
88,94,Calle Ayala nº 102,Conde Peñalver,24,-3.6752024,40.4272582,28001
89,95,Calle Goya nº 18,General Pardiñas,30,-3.6837876,40.4250361,28001
90,96,Calle Hermosilla nº 70,Príncipe de Vergara,24,-3.6787441,40.4261340,28001
91,97,Calle Claudio Coello nº 45,Claudio Coello,24,-3.6865463,40.4262945,28001
92,98,Calle Goya nº 1,Plaza de Colón,24,-3.6893698,40.4257046,28001
93,99,Paseo de Recoletos nº 20,Biblioteca Nacional,21,-3.690756,40.4232153,28001
94,100,Calle Claudio Coello nº 109,Villanueva,24,-3.6870548,40.4226584,28001
95,101,Calle Alcalá nº 111,Castelló,27,-3.6821793,40.4220640,28001
96,102,Avenida de Menéndez Pelayo nº 3,Alcalá,27,-3.6805189,40.4222969,28009
97,103,Plaza de Felipe II,Plaza de Felipe II,24,-3.6758383,40.4239447,28009
98,104,Calle Alcántara nº 2,Alcántara,24,-3.6738714,40.4261851,28006
99,105,Calle Goya nº 99,Palacio de Deportes,24,-3.67384,40.42478,28009
100,106,Calle Jorge Juan nº 131,Jorge Juan,24,-3.6691524,40.4231526,28028
101,107,Calle Alcalá nº 95,Velázquez,24,-3.6840229,40.4211802,28001
102,108,Calle José Ortega y Gasset nº 4,Ortega y Gasset,24,-3.68653,40.43037,28006
103,109,Paseo de la Castellana nº 4,Castellana,21,-3.68958,40.42677,28046
104,110,Calle Serrano nº 54,Serrano,24,-3.68745,40.42699,28001
105,111,Calle Serrano nº 34,Colón A,18,-3.6877227,40.4251002,28001
106,112,Calle Serrano nº 34,Colón B,18,-3.6877450,40.4249630,28001
107,113,Calle Serrano nº 8,Columela,24,-3.6884369,40.4215246,28001
108,114,Calle Mártires Concepcionistas nº 2,Mártires Concepcionistas,27,-3.6706024,40.4273005,28001
109,115,Calle José Ortega y Gasset nº 30,Marqués de Salamanca,24,-3.6816402,40.4300481,28001
110,116,Paseo de Moret nº 2,Moncloa,24,-3.7200845,40.4347895,28001
111,117,Calle Arcipreste de Hita nº 12,Arcipreste de Hita A,24,-3.7175435,40.4337322,28015
112,118,Calle Arcipreste de Hita nº 12,Arcipreste de Hita B,24,-3.7179687,40.4341006,28001
113,119,Paseo de Moret nº 11,Paseo de Moret,24,-3.7246532,40.4325991,28001
114,120,Paseo del Pintor Rosales frente al nº 38,Pintor Rosales,24,-3.7205129,40.4276570,28001
115,121,Calle Quintana nº 11,Quintana,24,-3.7174158,40.4277456,28001
116,122,Calle Evaristo San Miguel nº 2,Ferraz,24,-3.7170448,40.4253944,28001
117,123,Calle Princesa nº 5,Plaza de España A,24,-3.7116030,40.4240200,28008
118,124,Calle Princesa nº 5,Plaza de España B,24,-3.7117030,40.4241200,28008
119,125,Calle Altamirano nº 24,Altamirano,24,-3.7188898,40.4309797,28001
120,126,Calle Juan Martín el Empecinado nº 16,Juan Martín,24,-3.6882407,40.4007810,28045
121,127,Calle Méndez Álvaro nº 11,Méndez Álvaro,24,-3.6863218,40.4013216,28045
122,128,Calle Palos de la Frontera nº 27,Palos de la Frontera,24,-3.6944768,40.4032208,28045
123,129,Paseo de Santa María de la Cabeza nº 58,Santa María de la Cabeza,24,-3.6987665,40.4017926,28045
124,130,Calle Santa Engracia nº 14,Santa Engracia 14,24,-3.6967169,40.4291992,28001
125,131,Calle Guzmán el Bueno nº 1,Guzmán el Bueno,24,-3.7133412,40.4306458,28001
126,169,Calle Manuel Silvela nº 20,Manuel Silvela,24,-3.6993465,40.4309524,28001
127,164,Calle Fernández de la Hoz nº 29,General Martínez Campos ,24,-3.6948626,40.4352850,28010
128,163,Calle del General Álvarez de Castro nº 1,General Álvarez de Castro,24,-3.7015686,40.4344731,28001
129,168,Calle Fernando el Católico nº 19,Fernando el Católico,24,-3.7084390,40.4338516,28001
130,160,Calle Cea Bermúdez nº 59,Cea Bermúdez,27,-3.7154329,40.4389940,28001
131,161,Calle José Abascal nº 33,José Abascal,24,-3.6982353,40.4383865,28001
132,157,Calle Santa Engracia nº 127,Santa Engracia 127,20,-3.70164,40.44156,28001
133,156,Calle Bravo Murillo nº 44,Bravo Murillo 44,24,-3.7040344,40.4418402,28003
134,149,Calle Santa Engracia nº 168,Glorieta de los Cuatro Caminos,24,-3.7036675,40.4463667,28003
135,150,Calle Raimundo Fernández Villaverde nº 33,Raimundo Fernández,24,-3.7001669,40.4471250,28003
136,153,Calle María de Guzmán nº 58,Agustín de Betancourt,24,-3.6956047,40.4440297,28001
137,158,Plaza de San Juan de la Cruz nº 11,Plaza de San Juan de la Cruz,24,-3.6927821,40.4415974,28003
138,151,Paseo de la Castellana nº 106,Castellana 106,24,-3.6908610,40.4453307,28001
139,152,Plaza de la República Argentina nº 6,Plaza de la República Argentina,24,-3.6853312,40.4454110,28001
140,154,Paseo de la Castellana esquina calle Raimundo Fernández Villaverde,Paseo de la Castellana con Raimundo Fernández,24,-3.6917932,40.4457414,28003
141,159,Calle José Gutiérrez Abascal nº 2,José Gutiérrez Abascal ,24,-3.6907784,40.4396792,28001
142,162,Calle Velázquez nº 130,Velázquez 130,27,-3.6831578,40.4385127,28006
143,165,Paseo de la Castellana nº 43,Paseo de la Castellana - Glorieta de Emilio Castelar,12,-3.6892368,40.4355143,28001
144,167,Paseo de la Castellana nº 42,Castellana 42,24,-3.6879154,40.4334087,28046
145,166,Calle Diego de León nº 52,Diego de León 52,24,-3.6784920,40.4345973,28006
146,170,Calle Juan Bravo nº 50,Juan Bravo 50,24,-3.6758555,40.4323655,28001
147,171,Calle Ortega y Gasset nº 87,Ortega y Gasset 87,24,-3.6712823,40.4298870,28001
148,155,Calle María Francisca nº 1,María Francisca 1,18,-3.6787169,40.4442258,28001
149,148,Avenida del Doctor Arce nº 45,Doctor Arce 45,24,-3.6797296,40.4483269,28006
150,144,Calle Serrano nº 210,Serrano 210,24,-3.6817962,40.4510188,28001
151,146,Paseo de la Habana nº 42,Paseo de la Habana 42,24,-3.6881689,40.4498613,28001
152,147,Paseo de la Castellana nº 122,Castellana frente a Hermanos Pinzón,24,-3.6905604,40.4488924,28001
153,145,Calle Orense nº 12,Orense 12,24,-3.6952943,40.4489101,28001
154,142,Avenida del General Perón frente al nº 4,General Perón 1,24,-3.6990077,40.4527164,28001
155,143,Avenida del General Perón frente al nº 36,General Perón con Poeta Joan Maragall,24,-3.693085,40.4522454,28001
156,141,Calle Orense nº 36,Orense 36,24,-3.6946218,40.4548456,28020
157,139,Calle San Germán nº 57,San Germán 57,24,-3.7009675,40.4572824,28020
158,140,Calle Sor Ángela de la Cruz nº 2,Sor Ángela de la Cruz,24,-3.6915330,40.4592351,28001
159,137,Paseo de la Castellana nº 164,Castellana 164,24,-3.6894151,40.4591366,28001
160,138,Avenida de Alberto Alcocer nº 22,Alberto Alcocer,24,-3.6847150,40.4585318,28001
161,173,Paseo de la Habana nº 63,Paseo de la Habana 63,24,-3.6835926,40.4543852,28001
162,172,Calle Colombia nº 7,Colombia,24,-3.6763439,40.4572466,28016
163,132,Paseo de la Florida nº 8,Paseo de la Florida,27,-3.7224983,40.4219665,28008
164,133,Paseo de los Olmos nº 28,Metro Pirámides,24,-3.7108108,40.4034076,28005
165,134,Paseo de la Esperanza nº 2,Paseo de la Esperanza,21,-3.7064516,40.4035988,28005
166,136,Paseo de las Delicias nº 92,Paseo de las Delicias,24,-3.6945025,40.3972616,28045
167,135,Paseo de la Chopera nº 14,Entrada Matadero,27,-3.6975708,40.3928821,28045
168,174,Calle Segovia nº 26,Segovia 26,24,-3.7135833,40.4138333,28001
169,175,Calle Segovia nº 45,Segovia 45,24,-3.717487,40.413736,28005
170,176,Paseo Santa María de la Cabeza nº 29,Batalla del Salado,24,-3.6959166,40.4044722,28045
171,177,Calle Toledo nº 181,Pirámides,24,-3.7138055,40.4016111,28005
172,178,Paseo de la Esperanza nº 21,Paseo de la Esperanza,24,-3.7043611,40.401,28001
173,179,Calle Embajadores nº 101,Embajadores-Cáceres,24,-3.6983888,40.39975,28045
174,180,Calle Bustamante nº 1,Delicias,24,-3.6935833,40.4008888,28045
175,181,Paseo de la Esperanza nº 59,Puente Praga,24,-3.7023918,40.3981798,28005
176,182,Paseo de Yeserías nº 45,Madrid Río-Yeserías,27,-3.7065277,40.3974444,28005
177,183,Calle Jaime el Conquistador nº 30,Jaime el Conquistador,21,-3.6983055,40.3962222,28045
178,184,Calle Alicante nº 3,Beata,24,-3.6937222,40.39425,28045
179,185,Calle Bolívar nº 3,Legazpi,24,-3.6941944,40.3914722,28045
180,186,Calle León Gil de Palacio nº 3,Junta Municipal Retiro,24,-3.6788343,40.4029202,28007
181,187,Avenida de la Albufera nº 6,Puente de Vallecas,24,-3.66925,40.3979722,28001
182,188,Calle Retama nº 5,Méndez Álvaro,24,-3.6758888,40.3941388,28045
183,189,Calle Ibiza nº 18,Retiro-Ibiza,27,-3.6766111,40.41825,28009
184,190,Calle Alcalde Sáinz de Baranda frente al nº 107,Parque Roma,24,-3.6657777,40.4186666,28007
185,191,Calle Hermosilla nº 135,Doctor Esquerdo-Hermosilla,24,-3.669339,40.425635,28009
186,192,Paseo Marqués de Zafra nº 24,Marqués de Zafra,24,-3.6653055,40.426,28028
187,193,Calle Sancho Dávila esquina Paseo Marqués de Zafra,Quinta Fuente del Berro,24,-3.6615277,40.4250833,28028
188,194,Calle General Pardiñas nº 56,General Pardiñas,24,-3.6782777,40.4290555,28001
189,195,Calle Alejandro González nº 1,Alcalá-Ventas,24,-3.6638888,40.4301666,28028
190,196,Avenida de Daroca nº 2,Puente de Ventas,27,-3.6590555,40.4311944,28001
191,197,Calle Virgen de la Alegría nº 18,Avenida Donostiarra,24,-3.6554918,40.4351256,28027
192,198,Calle Velázquez nº 91,Velázquez-Diego de León,24,-3.6835833,40.4343333,28006
193,199,Calle Alonso Heredia nº 1,Diego de león,18,-3.674,40.4346388,28028
194,200,Avenida de los Toreros nº 3,Avenida de los Toreros,27,-3.6714166,40.4318611,28001
195,201,Avenida de los Toreros nº 49,Ventas,27,-3.6655555,40.4324722,28028
196,202,Calle Francisco Silvela nº 86,Avenida de América 2,24,-3.6772222,40.43725,28001
197,203,Calle Padre Indalecio Hernández nº 1,Avenida de América 1,24,-3.6754444,40.4392222,28001
198,204,Calle Suero de Quiñones nº 2,Prosperidad,24,-3.6751388,40.4441388,28002
199,205,Avenida de Concha Espina nº 34,Parque Berlín,24,-3.6780555,40.4515833,28001
